id,nome,acepcao,exemplo,exemploLibras,categoria,representacao,configuracaoMao
33,Dom Viçoso,Cidade Mineira localizada ao sul do estado.,Aline nasceu em Dom Viçoso.,DOM VIÇOSO A-L-I-N-E NASCER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/TYym2CxEvg8],[[12;32]]
34,Santa Rita do Sapucaí,Cidade Mineira localizada ao sul do estado.,Santa Rita do Sapucaí está localizada no Sul de Minas Gerais,SANTA RITA DO SAPUCAÍ SUL DE MINAS LOCALIZADA ESTÁ,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/sf_MjHcKqUw],[[11]]
35,Itabira,Cidade Mineira localizada na região do Quadrilátero Ferrífero.,Em Itabira tem campus da Unifei,ITABIRA CAMPUS UNIFEI TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/X0pe7A_UgQU],[[38]]
36,São Lourenço,Cidade Mineira localizada ao sul do estado.,Em São Lourenço tem hotel bom,SÃO LOURENÇO HOTEL BOM TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/mljpCkjG5cU;https://youtu.be/4hKVnRihrYQ],[[58];[2;8a]]
37,Carmo de Minas,Cidade Mineira localizada ao sul do estado.,Carmo de Minas tem mais de 13 mil habitantes,CARMO DE MINAS MAIS DE 13 MIL HABITANTES TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/Ag5faIoAsrc],[[51a]]
38,Itamonte,Cidade Mineira localizada ao sul do estado.,Em Itamonte tem ecoturismo.,ITAMONTE ECOTURISMO TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/MTSJKsRUs-g],[[38;61]]
39,Lambari,Cidade Mineira localizada ao sul do estado.,Em Lambari tem rios,LAMBARI RIOS TER.,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/5VdALv3Bw6A],[[8a;63]]
40,Pouso Alto,Cidade Mineira localizada ao sul do estado.,Pouso Alto é uma cidade pequena,POUSO ALTO CIDADE PEQUENA SER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/HuORfmFQDpY],[[11;1]]
41,Passos,Cidade Mineira localizada à sudoeste do estado na Mesorregião do Sul.,Ana estuda e trabalha em Passos,PASSOS A-N-A ESTUDAR E TRABALHAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/3zGsNyop0WA],[[1;62]]
42,Divinópolis,Cidade Mineira localizada na região Centro-Oeste do estado.,Você conhece Divinópolis?,DIVINÓPOLIS VOCÊ CONHECER?,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/Ry3dZMq1CWU],[[12]]
43,Ibirité,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,João comprou uma casa em Ibirité ,IBIRITÉ CASA J-O-Ã-O COMPRAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/9cC25T5B7CU],[[38]]
44,Martinho Campos,Cidade Mineira localizada na região Centro-Oeste do estado.,Martinho Campos tem mais de 13 mil habitantes,MARTINHO CAMPOS MAIS DE 13 MIL HABITANTES TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/afuwvigNVLg],[[60;51a]]
45,Pedro Leopoldo,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Pedro Leopoldo tem muitos pontos turísticos,PEDRO LEOPOLDO MUITOS PONTOS TURÍSTICOS TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/-vKmYahqfjo],[[11;8a]]
46,Três Corações,Cidade Mineira localizada à sudoeste do estado.,Pelé nasceu em Três Corações.,TRÊS CORAÇÕES PELÉ NASCER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/H7AhPzG8rfs],[[60]]
47,Conceição do Mato Dentro,Cidade Mineira localizada na região central do estado.,Conceição do Mato Dentro é uma cidade historica de Minas Gerais,CONCEIÇÃO DO~MATO DENTRO CIDADE HISTÓRICA DE MINAS GERAIS SER.,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/bwGGRFLzr8s],[[53a]]
48,Governador Valadares,Cidade Mineira localizada na região do Vale do Rio Doce.,Em Governador Valadares tem a ilha dos Araújos,GOVERNADOR VALADARES ILHA DOS ARAÚJOS TER.,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/vDACxdUBWOc],[[9;32]]
49,Lavras,Cidade Mineira localizada na região do Campo Das Vertentes.,Em Lavras tem Universidade Federal.,LAVRAS UNIVERSIDADE FEDERAL TER.,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/3e7gwAw2Glw;https://youtu.be/SctcM9A3M-A],[[8a];[8a;1;32;25;1;2]]
50,Ouro Preto,"Cidade Mineira localizada na região metropolitana de Belo Horizonte, região central do estado.",Ouro Preto tem mais de 70 mil habitantes,OURO PRETO MAIS DE 70 MIL HABITANTES TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/4OxN90vKxYM;https://youtu.be/9bxo77YUOLk],[[35a;4];[46b;2]]
51,Patos de Minas,Cidade Mineira localizada na região do Triângulo Mineiro e do Alto Paranaíba.,Em Patos de Minas tem milhos gostosos.,PATOS DE MINAS MILHOS GOSTOSOS TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/AF9gMfeTBSg],[[27]]
52,Sabará,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,"Sabará significa ""grandes olhos brilhantes"".",CIDADE SABARÁ NOME SIGNIFICADO GRANDES OLHOS BRILHANTES,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/ZhuyB8kf1NM],[[15]]
53,Tiradentes,Cidade Mineira localizada na região do Campo das Vertentes.,Tiradentes já pertenceu à São João Del Rei.,PASSADO CIDADE TIRADENTES CIDADE SÃO JOÃO DEL REI PERTENCER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/9vhz85c8KzQ],[[1]]
54,Ouro Branco,"Cidade Mineira localizada na região metropolitana de Belo Horizonte, região central do estado.",Ouro Branco ocupou o primeiro lugar no ranking de melhores cidades mineiras em 2010.,ANO 2010 PRIMEIRO LUGAR RANKING MELHORES CIDADES MINEIRAS CIDADE OURO BRANCO OCUPAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/h_X6hYbczpI],[[8a]]
55,São Paulo,Cidade Paulista e capital do estado.,São Paulo é a cidade mais populosa da América Latina.,AMÉRICA LATINA CIDADE SÃO PAULO MAIS POPULOSA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Paulista;Município Paulista],[https://youtu.be/y_LztCz2DmA],[[11]]
56,Brazópolis,Cidade Mineira localizada ao sul do estado.,Brazópolis está situada na região sul do estado de Minas Gerais,REGIÃO SUL ESTADO MINAS GERAIS CIDADE BRAZÓPOLIS LOCALIZAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/LarPz7GY2kA;https://youtu.be/dQ9AfmezLpc],[[61;63];[42]]
57,Virgínia,Cidade Mineira localizada ao sul do estado.,Virgínia é um município do estado de Minas Gerais.,MINAS GERAIS CIDADE VIRGÍNIA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/cO4oXZYVnM8],[[32]]
58,Piranguçu,Cidade Mineira localizada ao sul do estado.,Piranguçu pertenceu à Itajubá até 1963.,ANO 1963 CIDADE PIRANGUÇU CIDADE ITAJUBÁ PERTENCER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/Wx7Jnfd6OmE],[[37a]]
59,Wenceslau Braz,Cidade Mineira localizada ao sul do estado.,Wenceslau Braz tem seu nome em homenagem ao ex-presidente Venceslau Brás.,CIDADE WENCESLAU BRAZ NOME HOMENAGEM EX PRESIDENTE TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/sCd15xdrkNQ],[[59a;61;2]]
60,Gonçalves,Cidade Mineira localizada ao sul do estado.,Gonçalves faz parte do circuito turístico Serras Verdes do Sul de Minas.,CIRCUITO SERRAS VERDES SUL DE MINAS CIDADE GONÇALVES PARTICIPAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/pQPx0VEWtv4],[[9;47]]
61,Pedralva,Cidade Mineira localizada ao sul do estado.,Pedralva é um município do estado de Minas Gerais.,ESTADO MINAS GERAIS CIDADE PEDRALVA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/MstGrid4OX0],[[11;2]]
62,Cambuquira,Cidade Mineira localizada ao sul do estado.,Cambuquira faz parte do Circuito das Águas de Minas Gerais.,CIRCUITO DAS ÁGUAS MINAS GERAIS CIDADE CAMBUQUIRA PARTICIPAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/9d3C5tsf_o4],[[51a]]
63,Conceição do Rio Verde,Cidade Mineira localizada ao sul do estado.,Conceição do Rio Verde é um município mineiro que faz parte do Circuito das Águas.,CIRCUITO DAS ÁGUAS  CIDADE CONCEIÇÃO DO RIO VERDE PARTICIPAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/j3Azdy-aP20],[[51a;32;25;32];[51a;42;25;32]]
64,Jesuânia,Cidade Mineira localizada ao sul do estado.,Jesuânia é um município do estado de Minas Gerais.,ESTADO MINAS GERAIS CIDADE JESUÂNIA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/xB-Vqi7VZKc],[[38;12]]
65,Passa Quatro,Cidade Mineira localizada ao sul do estado.,Passa Quatro é uma estância hidromineral e região turística.,ESTÂNCIA HIDROMINERAL TAMBÉM REGIÃO TURÍSTICA CIDADE PASSA QUATRO É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/LxlqYpVpCjI],[[11;60]]
66,Soledade de Minas,Cidade Mineira localizada ao sul do estado.,Soledade de Minas faz parte do Circuito das Águas de Minas Gerais.,CIRCUITO DAS ÁGUAS MINAS GERAIS CIDADE SOLEDADE DE MINAS PARTICIPAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/6213SMy5dg8],[[2]]
67,Curvelo,Cidade Mineira localizada na região central do estado.,Curvelo tem seu nome em homenagem ao padre Antônio Corvelo de Ávila.,CIDADE CURVELO NOME HOMENAGEM PADRE TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/kpjJsq7jvBc],[[51a]]
68,Florestal,"Cidade Mineira localizada na região metropolitana de Belo Horizonte, região central do estado.",Florestal é um município do estado de Minas Gerais.,MINAS GERAIS CIDADE FLORESTAL É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/jnCjbvuKbBE],[[54]]
69,Ipatinga,"Cidade Mineira localizada na região do Vale do Aço, à leste do estado.",Ipatinga é o município mais populoso do Vale do Aço.,VALE DO AÇO MAIS POPULOSO CIDADE IPATINGA SER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/4C1v7DVeUhY],[[64]]
70,Pará de Minas,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Pará de Minas é um município do estado de Minas Gerais.,ESTADO MINAS GERAIS CIDADE PARÁ DE MINAS É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/fedeh0WmOaA],[[61]]
71,Teófilo Otoni,Cidade Mineira localizada na região do Vale do Mucuri.,Teófilo Otoni tem seu nome em homenagem ao político do período imperial Teófilo Otoni.,CIDADE TEÓFILO OTONI NOME HOMENAGEM POLÍTICO TER,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/gYvSLipOrTQ],[[21]]
72,Varginha,Cidade Mineira localizada ao sul do estado.,Varginha enviou reforços para compor as tropas brasileiras que lutaram na Itália na Segunda Guerra Mundial.,SEGUNDA GUERRA MUNDIAL REFORÇOS TROPAS BRASILEIRAS CIDADE VARGINHA ENVIAR,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/0-5nlbOCIWw],[[21;32]]
73,Betim,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Betim é a quinta cidade mais populosa de Minas Gerais.,ESTADO MINAS GERAIS QUINTA MAIS POPULOSA CIDADE BETIM É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/yXP_7-adXxg],[[61]]
74,Diamantina,"Cidade Mineira localizada na região do Vale do Jequitinhonha, região central do estado.",Diamantina é o município mais populoso do Vale do Jequitinhonha.,VALE DO JEQUITINHONHA MAIS POPULOSO CIDADE DIAMANTINA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://www.youtube.com/watch?v=FkNLV7XR5pE],[[21]]
75,Juiz De Fora,Cidade Mineira localizada na região da Zona da Mata Mineira.,Juiz De Fora é a quarta cidade mais populosa de Minas Gerais.,ESTADO MINAS GERAIS QUARTA MAIS POPULOSA CIDADE JUIZ DE FORA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/-3L9H37SbW0],[[61]]
76,Nova Lima,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Nova Lima é historicamente reconhecida pela extração de minérios de ferro e ouro.,EXTRAÇÃO MINÉRIO FERRO TAMBÉM OUTRO CIDADE NOVA LIMA RECONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/Gd5d3q2zjyE],[[18a]]
77,Pompeu,Cidade Mineira localizada na região central do estado.,Pompeu é um município do estado de Minas Gerais.,ESTADO MINAS GERAIS CIDADE POMPEU É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/BoYr0Y7PuTg],[[12]]
78,Rio Acima,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Rio Acima é reconhecida por suas diversas cachoeiras e nascentes.,DIVERSAS CACHOEIRAS E NASCENTES CIDADE  RIO ACIMA RECONHECIDA É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/sGWbgZnfzlE],[[25]]
79,Sarzedo,Cidade Mineira localizada na região metropolitana de Belo Horizonte.,Sarzedo é um município do estado de Minas Gerais.,ESTADO MINAS GERAIS CIDADE  SARZEDO É,[Cidade;Município;Cidade do Sudeste;Município do Sudeste;Cidade do Sudeste;Cidade Mineira;Município Mineiro],[https://youtu.be/SHa1kB6nGqo;https://youtu.be/MuCqHxrcSUc],[[46a];[64]]
